x,y,z,r,g,b
19900,4100,55,255,0,0
19900,4900,27,255,0,0
19900,5600,0,255,0,0
19900,11700,18,255,0,0
19900,13600,61,255,0,0
19900,15100,74,255,0,0
20000,500,32,255,0,0
20000,4500,57,255,0,0
20000,4600,56,255,0,0
20000,11300,18,255,0,0
20000,14000,21,255,0,0
20000,14100,12,255,0,0
20100,1700,41,255,0,0
20100,23600,559,255,0,0
20200,4800,57,255,0,0
20200,11800,12,255,0,0
20200,15100,82,255,0,0
20200,16600,134,255,0,0
20300,0,26,255,0,0
20300,1400,38,255,0,0
20300,5000,51,255,0,0
20300,12100,11,255,0,0
20300,15100,86,255,0,0
20400,1800,41,255,0,0
20400,2800,53,255,0,0
20400,23600,561,255,0,0
20400,29200,0,255,0,0
20500,4800,70,255,0,0
20500,4900,70,255,0,0
20500,5100,61,255,0,0
20500,16800,137,255,0,0
20600,200,27,255,0,0
20600,500,26,255,0,0
20600,11700,1,255,0,0
20600,12200,9,255,0,0
20600,18600,182,255,0,0
20700,1300,30,255,0,0
20700,5500,57,255,0,0
20700,10600,198,255,0,0
20700,17000,144,255,0,0
20800,5700,55,255,0,0
20800,28500,3,255,0,0
20800,29000,4,255,0,0
20900,17600,176,255,0,0
21000,10400,217,255,0,0
21100,5500,85,255,0,0
21100,5900,85,255,0,0
21100,17300,150,255,0,0
21100,27800,5,255,0,0
21200,5100,83,255,0,0
21200,6600,91,255,0,0
21200,9000,211,255,0,0
21200,10800,236,255,0,0
21200,14500,121,255,0,0
21200,17300,146,255,0,0
21200,17700,175,255,0,0
21200,22100,550,255,0,0
21300,200,27,255,0,0
21300,2700,53,255,0,0
21400,700,20,255,0,0
21400,2900,56,255,0,0
21400,10500,237,255,0,0
21400,23500,545,255,0,0
21400,27300,0,255,0,0
21400,29400,2,255,0,0
21500,1300,18,255,0,0
21500,2600,53,255,0,0
21500,7000,112,255,0,0
21500,9100,213,255,0,0
21500,9900,213,255,0,0
21500,14700,120,255,0,0
21500,15500,120,255,0,0
21500,25500,515,255,0,0
21600,2100,51,255,0,0
21600,10100,229,255,0,0
21600,19800,407,255,0,0
21600,22400,557,255,0,0
21600,23000,559,255,0,0
21700,3000,58,255,0,0
21700,7800,1,255,0,0
21700,10700,254,255,0,0
21700,17400,142,255,0,0
21700,18800,372,255,0,0
21800,2800,54,255,0,0
21800,5300,85,255,0,0
21800,18500,357,255,0,0
21800,20200,423,255,0,0
21800,24900,520,255,0,0
21900,11400,295,255,0,0
21900,22100,559,255,0,0
22000,2500,52,255,0,0
22000,3200,68,255,0,0
22000,7900,5,255,0,0
22000,11000,295,255,0,0
22000,14500,124,255,0,0
22000,20700,417,255,0,0
22000,22400,573,255,0,0
22000,23000,563,255,0,0
22000,27500,0,255,0,0
22100,1100,22,255,0,0
22100,3900,66,255,0,0
22100,4500,65,255,0,0
22100,5500,87,255,0,0
22100,7600,2,255,0,0
22100,17100,138,255,0,0
22100,18300,353,255,0,0
22100,25100,522,255,0,0
22200,8800,231,255,0,0
22200,16800,139,255,0,0
