X,Y,Z,Red,Green,Blue,TreeType,RoadAttribute,Moisture,Roughness,Height,Slope
251722,170991,187,0,255,0,1,0.00392157,0.235294,0.14902,187,0.392699
253612,170571,173,0,255,0,1,0.00392157,0.0941176,0.258824,173,0.589049
253792,168711,181,255,0,0,0,0,0.0745098,0.294118,181,0.589049
254512,169101,174,255,0,0,0,0,0.109804,0.266667,174,0.589049
255472,165171,258,255,0,0,0,0.00392157,0.254902,0.254902,258,0.589049
256222,171981,1026,255,0,0,0,0.00392157,0.0980392,0.270588,1026,0.59288
256642,166911,910,255,0,0,0,0,0.0509804,0.254902,910,0.524876
256672,173391,1617,0,255,0,1,0,0.0627451,0.262745,1617,0.589049
256882,172041,1047,0,255,0,1,0,0.0745098,0.243137,1047,0.328526
257062,163641,275,255,0,0,0,0.486275,0.0823529,0.266667,275,0.460703
257692,174981,1658,255,0,0,0,0,0.0588235,0.227451,1658,0.524876
258292,169911,1462,0,255,0,1,0,0.0588235,0.258824,1462,0.524876
258382,162111,28,0,255,0,1,0,0.0705882,0.313725,28,0.264353
259192,162051,30,0,255,0,1,0.00392157,0.0705882,0.282353,30,0.59288
259432,159411,27,255,0,0,0,0,0.160784,0.278431,27,0.524876
261232,163251,1040,0,255,0,1,0,0.00392157,0.254902,1040,0.460703
261292,163281,1037,0,255,0,1,0,0.00392157,0.254902,1037,0.589049
261442,158271,27,255,0,0,0,0,0.0627451,0.266667,27,0.589049
262042,159531,246,255,0,0,0,0,0.0627451,0.266667,246,0.460703
264862,157461,1195,0,255,0,1,0.00392157,0.101961,0.262745,1195,0.460703
265912,170271,177,255,0,0,0,0,0.0980392,0.290196,177,0.59288
265912,170391,172,0,255,0,1,0,0.137255,0.286275,172,0.524876
266272,152751,114,0,255,0,1,0,0.627451,0.25098,114,0.392699
266932,159861,1567,255,0,0,0,0,0.0588235,0.282353,1567,0.524876
266962,170931,172,0,255,0,1,0.00392157,0.0784314,0.137255,172,0.392699
267292,168021,164,0,255,0,1,0.0117647,0.00784314,0.266667,164,0.589049
267472,171471,169,255,0,0,0,0,0.00784314,0.231373,169,0.59288
267562,172341,176,0,255,0,1,0,0.0352941,0.25098,176,0.524876
267682,172311,174,0,255,0,1,0.00392157,0.00784314,0.262745,174,0.59288
267802,171141,172,0,255,0,1,0.00392157,0.00784314,0.262745,172,0.328526
268252,172821,172,255,0,0,0,0,0.152941,0.25098,172,0.589049
268942,161181,1997,0,255,0,1,0,0.176471,0.239216,1997,0.392699
268942,171441,166,0,255,0,1,0,0.00784314,0.239216,166,0.524876
268972,173361,174,255,0,0,0,0.00392157,0.0862745,0.207843,174,0.589049
266512,170481,175,0,255,0,1,0.00392157,0.172549,0.235294,175,0.19635
240382,174591,433,255,0,0,0,0.00392157,0.0705882,0.282353,433,0.392699
241582,176601,166,0,255,0,1,0.243137,0.0117647,0.278431,166,0.59288
241642,173781,131,255,0,0,0,0,0.0862745,0.282353,131,0.328526
241672,170601,332,255,0,0,0,0.133333,0.0823529,0.290196,332,0.59288
241762,172521,292,0,255,0,1,0.180392,0.0666667,0.286275,292,0.589049
241792,170211,345,0,255,0,1,0.360784,0.145098,0.266667,345,0.59288
242482,175641,186,255,0,0,0,0.384314,0.0392157,0.27451,186,0.589049
242752,179571,721,0,255,0,1,0.00392157,0.00784314,0.270588,721,0.524876
242902,176811,293,0,255,0,1,0,0.00784314,0.231373,293,0.589049
243052,179391,757,0,255,0,1,0.00392157,0.00784314,0.270588,757,0.589049
244162,176001,293,255,0,0,0,0,0.105882,0.27451,293,0.589049
244342,176121,295,0,255,0,1,0,0.105882,0.27451,295,0.589049
245572,170091,302,255,0,0,0,0,0.0705882,0.266667,302,0.589049
245782,170271,300,255,0,0,0,0,0.0666667,0.270588,300,0.392699
247702,168471,222,255,0,0,0,0,0.0666667,0.247059,222,0.524876
248572,180051,1417,0,255,0,1,0,0.00392157,0.266667,1417,0.328526
250672,168141,168,255,0,0,0,0.00392157,0.196078,0.25098,168,0.19635
